Name,Language,IMDb Rating,Running Time,Year of Release,Viewer_age,Type
John Rambo,Tamil,7,1 h 26 min,2008,18+,Movie
American Pie,English,7,1 h 35 min,1999,18+,Movie
Bombshell,English,6.8,1 h 48 min,2019,18+,Movie
Love Birds,Tamil,5.1,2 h 40 min,1996,All,Movie
Hippi,Telugu,5,2 h 20 min,2019,18+,Movie
Honey Bunny As Super Team X,Tamil,None,49min,2018,7+,Movie
Ayyaa,Tamil,5.7,2 h 39 min,2005,All,Movie
Mukhya Mantri,Bengali,None,1 h 57 min,1996,NR,Movie
Gandhi Fer Aa Gea,Punjabi,4.9,2 h 13 mins,2020,13+,Movie
Premada Vayasu,Kannada,6,1 h 56 min,1997,NR,Movie
Tum Se Achcha Kaun Hai,Hindi,4.5,2 h 21 min,2002,All,Movie
Swamy,Kannada,6,2 h 34 min,2005,All,Movie
Ekkees Tareekh Shubh Muhurat,Hindi,5.7,1 h 33 min,2018,All,Movie
Sealers: One Last Hunt,English,7.7,56min,2020,13+,Movie
Lonavala Bypass,Marathi,None,1 h 46 mins,2009,13+,Movie
Project Almanac,English,6.4,1 h 46 min,2015,13+,Movie
Nanna Prema,Telugu,None,2 h 23 min,2019,13+,Movie
Ghost Stories,English,6.4,1 h 33 min,2018,18+,Movie
Basthi Mey Saval,Telugu,None,1 h 49 min,2002,NR,Movie
Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,2 h 32 min,2002,13+,Movie
Devdas,Hindi,7.6,2 h 35 min,None,All,Movie
Akashadoothu,Malayalam,7.4,2 h 13 min,1993,All,Movie
Mera Pind: My Home,Punjabi,6.6,2 h 44 mins,2008,All,Movie
City of football,Bengali,None,2min,2019,13+,Movie
300: Rise of an Empire,Tamil,6.2,1 h 42 min,2014,18+,Movie
Nana Mama,Marathi,5.8,2 h 19 mins,2006,All,Movie
Hutututu Aavi Ramat Ni Rutu,Gujarati,7.2,2 h 13 min,2016,All,Movie
Uss Din,Hindi,7.4,11min,2010,18+,Movie
Edge of Obedience,English,8.6,51min,2020,13+,Movie
Eye To Eye With Everest: Death On A Mountain,English,None,1 h 25 min,2019,13+,Movie
Megh-O-Roudra,Bengali,None,1 h 36 min,None,NR,Movie
Kanhaiya Ek Yodha (Hindi),Hindi,4.7,1 h 56 min,2019,13+,Movie
Yajamana,Kannada,6.7,2 h 41 min,2019,13+,Movie
Sketch,Telugu,5.7,2 h 13 min,2018,13+,Movie
Toonpur Ka Superrhero,Hindi,4.2,1 h 35 min,2010,NR,Movie
Pinky Mogewali,Punjabi,3.7,2 h 14 mins,2012,13+,Movie
Ong-Bak: Muay Thai Warrior,English,7.2,1 h 40 min,2005,16+,Movie
Murder,Telugu,None,1 h 50 min,2020,13+,Movie
Great Sardaar,Punjabi,5.2,1 h 48 mins,2017,13+,Movie
Kharij,Bengali,None,1 h 30 min,2019,13+,Movie
Open Water,English,5.7,1 h 19 min,2004,18+,Movie
Prema Kama,Kannada,5.9,1 h 38 min,1978,NR,Movie
Jhankaar Beats,Hindi,7.2,2 h 11 min,2003,18+,Movie
Volcano Returns,Hindi,None,1 h 24 min,2014,NR,Movie
Law Abiding Citizen,Tamil,7.4,1 h 44 min,2009,18+,Movie
Sei To Abar Kache Ele,Bengali,None,2 h 18 min,2017,13+,Movie
48 Hrs.,English,6.9,1 h 36 min,1982,18+,Movie
K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,2 h 34 min,2018,13+,Movie
Stronger (2017),English,6.9,1 h 59 min,2017,18+,Movie
Teen Cup Chaa,Bengali,5.7,47min,2018,13+,Movie
Ramgarh Ke Sholay,Hindi,4.8,2 h 4 min,1991,All,Movie
Parampara,Hindi,5.7,2 h 28 min,1993,13+,Movie
Manmatha Raja,Kannada,5.1,2 h 9 min,1989,NR,Movie
Badal,Hindi,4.9,2 h 15 min,None,NR,Movie
Sahara,Hindi,6,2 h 15 min,None,NR,Movie
Jamalaye Jibanta Manush,Bengali,7.5,2 h 3 min,None,NR,Movie
Dash Mash Dash Diner Galpo,Bengali,5.7,1 h 54 min,2019,All,Movie
Bodhai Yeri Budhi Maari,Tamil,6.4,1 h 57 min,2019,13+,Movie
Crack,Kannada,None,2 h 22 min,2017,NR,Movie
Campus,Telugu,None,1 h 10 min,2000,NR,Movie
Hare Kanch Ki Chooriyan,Hindi,6.5,2 h 27 min,None,NR,Movie
Pagadi Aattam,Tamil,5.7,2 h 2 min,2017,All,Movie
World War Z,Hindi,7,1 h 56 min,2013,13+,Movie
Joy of Data,English,6.9,59min,2016,13+,Movie
Faasle,Hindi,4.6,2 h 26 min,1985,16+,Movie
Vasudev Balwant Phadke,Marathi,6.5,2 h 6 mins,2007,All,Movie
Sakthivel,Tamil,None,2 h 29 min,1994,All,Movie
Angakkuri,Malayalam,None,2 h 22 min,1979,NR,Movie
Thinkalaazhcha Nalla Divasam,Malayalam,7.2,1 h 59 min,1985,All,Movie
Adhyan,Tamil,None,1 h 48 min,2015,All,Movie
Keechu Raallu,Telugu,None,2 h 3 min,2005,NR,Movie
Uttara Dakshina,Kannada,None,2 h 25 min,1972,NR,Movie
Punnami Rathri,Telugu,None,2 h 1 min,1985,NR,Movie
Greenfingers,English,6.8,1 h 31 min,2001,18+,Movie
Vitamin She,Gujarati,5.7,2 h 17 min,2017,13+,Movie
Mayer Aasirbad,Bengali,None,2 h 38 min,2017,13+,Movie
Chaduranga,Kannada,6.1,2 h 18 min,1985,NR,Movie
Mugavaree,Tamil,7.2,2 h 36 min,2000,All,Movie
Qatil,Hindi,6,2 h 20 min,1988,13+,Movie
Noor Jahan,Bengali,5.3,2 h 22 min,2018,13+,Movie
Innuma Nambalai Namburanga,Tamil,None,2 h 10 min,2014,NR,Movie
Aftermath,English,5.7,1 h 33 min,2017,16+,Movie
Ranjha Refugee,Punjabi,5.5,2 h 2 mins,2018,All,Movie
Jab Tak Hai Jaan,Hindi,6.7,2 h 56 min,2012,13+,Movie
Vendetta (2015),English,None,1 h 30 min,2015,16+,Movie
Partner,Hindi,5.7,2 h 22 min,2007,NR,Movie
Daphne,English,6.1,1 h 27 min,2017,18+,Movie
Urumbukal Urangarilla,Malayalam,6.4,2 h 13 min,2015,13+,Movie
Neeharika,Malayalam,None,1 h 50 min,2014,NR,Movie
Jayasimha,Kannada,7.1,2 h 21 min,1987,NR,Movie
Despicable Me,Hindi,7.6,1 h 34 min,2010,7+,Movie
Mud,English,7.4,2 h 10 min,2012,16+,Movie
Mere Yaar Ki Shaadi Hai,Hindi,5.3,2 h 39 min,2002,All,Movie
Homefront,English,6.5,1 h 36 min,2013,18+,Movie
Gladiator,English,8.5,2 h 34 min,2000,18+,Movie
Mantramugdha,Bengali,None,2 h 5 min,1977,NR,Movie
De Dana Dan,Hindi,5.4,2 h 47 min,2009,NR,Movie
Rockstar,Hindi,7.7,2 h 37 min,2011,NR,Movie
The Pursuit of Happyness,English,8,1 h 57 min,2006,All,Movie
Baba Taraknath,Bengali,5.5,2 h 30 min,1977,All,Movie
Rajlakshmi O Srikanta,Bengali,6.2,2 h 12 min,2017,13+,Movie
Surya IPS,Telugu,6.9,2 h 23 min,1991,NR,Movie
Dil Jo Na Keh Saka,Hindi,5.4,2 h 5 min,2017,13+,Movie
Champion,Telugu,None,2 h 6 min,1992,NR,Movie
Gatham (Kannada),Kannada,6.1,1 h 41 min,2020,18+,Movie
Dirty Dancing,English,7,1 h 40 min,1987,13+,Movie
Gatham (Malayalam),Malayalam,6.1,1 h 41 min,2020,18+,Movie
Ishhya,Marathi,5.5,1 h 59 mins,2006,All,Movie
Ek Aur Ekk Gyaraah,Hindi,None,2 h 29 min,1981,NR,Movie
Universal Soldier: Day of Reckoning,Telugu,5,1 h 45 min,2012,18+,Movie
Manikarnika: The Queen of Jhansi,Tamil,6.4,2 h 20 min,2019,16+,Movie
Rowdy Baadshah,Hindi,6.4,2 h 10 min,2014,13+,Movie
Manamulla Marutharam,Tamil,None,2 h 27 min,1958,NR,Movie
Dare,Telugu,5.8,2 h 25 min,2011,NR,Movie
Jeevana Raagam,Telugu,None,2 h 15 min,1986,NR,Movie
Sugar Salt Ani Prem,Marathi,6.2,2 h 5 mins,2015,All,Movie
Evil Eye,English,4.7,1 h 29 min,2020,16+,Movie
Swarg,Hindi,6.7,2 h 31 min,1990,All,Movie
Poojaikku Vantha Malar,Tamil,7.5,2 h 41 min,1965,NR,Movie
Bastard,English,None,7min,2010,NR,Movie
Karunamoyee,Bengali,None,2 h 23 min,2017,13+,Movie
Nayakan,Tamil,8.6,2 h 36 min,1987,18+,Movie
Twister,Hindi,6.4,1 h 53 min,1996,13+,Movie
Bal Ganesh 3 (Tamil),Tamil,5.2,1 h 8 min,2015,7+,Movie
Goonda,Telugu,7,2 h 17 min,1984,NR,Movie
Bazar,Hindi,6,2 h 28 min,None,NR,Movie
LOL,English,4.4,1 h 32 min,2012,16+,Movie
Amari Duniya Tamari Duniya,Gujarati,None,2 h 13 min,2007,All,Movie
Project Y,English,None,44min,2020,13+,Movie
Robin Hood,English,6.6,2 h 20 min,2010,13+,Movie
Mardaani,Hindi,7.3,1 h 53 min,2014,18+,Movie
Simham Puli,Telugu,None,2 h 34 min,2011,NR,Movie
Go For Goals,Bengali,None,1 h 41 min,2017,13+,Movie
Autograph,Bengali,7.4,2 h 12 min,2017,13+,Movie
The Cabin Guard,Bengali,4.9,1 h 25 min,2019,13+,Movie
Ondu Hennina Kathe,Kannada,None,2 h 27 min,1972,NR,Movie
The Forgotten Genocide: Europe's Gypsies in World War II,English,8.2,1 h 15 min,2020,13+,Movie
Ulagam Pirandhadhu Enakkaga,Tamil,None,2 h 28 min,1990,All,Movie
HAK_MTL,English,6.1,1 h 7 min,2020,13+,Movie
The Lego Movie,English,7.7,1 h 40 min,2014,All,Movie
Zoo Laka Taka,Telugu,6,1 h 36 min,1989,NR,Movie
Life is Beautiful,Hindi,None,1 h 56 min,2014,NR,Movie
Chanda,Kannada,None,2 h 34 min,2007,NR,Movie
Saawariya - Khatu Shyam Ji Ki Amar Gatha,Hindi,None,2 h 3 min,2013,NR,Movie
London Has Fallen,Hindi,5.9,1 h 34 min,2016,18+,Movie
Summer in Bethlehem,Malayalam,7.8,2 h 34 min,1998,All,Movie
Tarpan,Hindi,None,2 h 4 min,1995,NR,Movie
Michael,Bengali,5.7,2 h 13 min,2018,13+,Movie
King - Malayalam,Malayalam,None,2 h 37 min,2002,NR,Movie
Quick,English,5.8,1 h 47 min,2011,16+,Movie
Hey Ram,Hindi,7.9,3 h 19 min,2000,NR,Movie
Karpagam,Tamil,7.4,2 h 49 min,1963,All,Movie
Vellinakshatram,Malayalam,4.8,2 h 36 min,2004,All,Movie
Jeevan Ek Sanghursh,Hindi,4.9,2 h 39 min,1990,All,Movie
Bal Ganesh and PomZom Planet (Tamil),Tamil,None,1 h 20 min,2017,All,Movie
Vaagai Sooda Vaa,Tamil,8,2 h 5 min,2011,All,Movie
Anne Frank: A Sister's Story,English,None,23min,2020,13+,Movie
Bal Ganesh (Gujarati),Gujarati,6.9,1 h 42 min,2007,All,Movie
Honeymoon Travels Pvt Ltd,Hindi,6.1,1 h 59 min,2007,13+,Movie
Dishoom,Hindi,5.1,2 h 1 min,2016,NR,Movie
Mayuri,Malayalam,None,1 h 18 min,2000,NR,Movie
On Going Home,English,None,19min,2020,13+,Movie
Telangana's Pride - Nagoba Jathara,English,None,58min,2020,13+,Movie
Sharkwater Extinction,English,7.7,1 h 24 min,2019,16+,Movie
Generation Wealth,English,6.7,1 h 46 min,2018,18+,Movie
Aakrosh,Hindi,7,2 h 25 min,2010,18+,Movie
Zombieland: Double Tap,Telugu,6.7,1 h 39 min,2019,18+,Movie
Loki,Kannada,None,2 h 16 min,2013,NR,Movie
Invisible Wildlife Photographer,English,None,51min,2019,13+,Movie
Nivuru,Telugu,None,2 h 12 min,2018,18+,Movie
Sesh Parba,Bengali,None,2 h 6 min,1972,NR,Movie
Appetite for Destruction: The Palm Oil Diaries,English,5.3,60min,2020,13+,Movie
King Solomon,Malayalam,6.8,2 h 27 min,1996,NR,Movie
Punnami Naagu,Telugu,7.2,2 h 10 min,1980,18+,Movie
Aurangzeb,Hindi,6.5,2 h 17 min,2013,16+,Movie
Nirbachana,English,6,1 h 42 min,1994,NR,Movie
Jaganmohini,Telugu,6.6,2 h 26 min,1978,All,Movie
American Hustle,English,7.2,2 h 18 min,2013,18+,Movie
The Pom Pom Girls,English,5,1 h 29 min,1976,18+,Movie
Vaai Kozhuppu,Tamil,3.6,2 h 17 min,1989,NR,Movie
Ae Dil Hai Mushkil,Hindi,5.8,2 h 35 min,2016,13+,Movie
Khuli Khidki - Pratibha Sharma,Hindi,None,9min,2013,All,Movie
Love 86,Hindi,5.7,2 h 20 min,1986,All,Movie
Barood,Bengali,6,2 h 22 min,2017,13+,Movie
Jagriti,Hindi,6.9,2 h 18 min,None,All,Movie
Bedeneer Prem,Bengali,None,2 h 26 min,2017,13+,Movie
Lego Marvel: Avengers Reassembled,English,6.2,22min,2015,7+,Movie
Janta Hawaldar,Hindi,6.4,2 h 6 min,1979,NR,Movie
Thira,Malayalam,7.3,1 h 49 min,2013,All,Movie
Letters From Generation RX,English,None,50min,2019,13+,Movie
Top Cat,Marathi,4.6,1 h 26 mins,2012,13+,Movie
My Husband's Wife,Hindi,None,2 h 6 min,2011,NR,Movie
The Program,English,6.5,1 h 43 min,2015,18+,Movie
Golmaal Again,Hindi,5,2 h 24 min,2017,13+,Movie
Anukokunda Oka Roju,Telugu,8,2 h 25 min,2005,All,Movie
Tharam,Malayalam,None,2 h 3 min,2005,NR,Movie
Tulkalam,Bengali,5.4,2 h 12 min,2017,13+,Movie
Captain Monsterica & The Purple Protector,English,None,1 h 16 min,2019,All,Movie
We Go Way Back,English,6.1,1 h 19 min,2006,NR,Movie
Hendthighelbedi,Kannada,None,2 h 23 min,1989,NR,Movie
Dev Bhoomi - Land of the Gods,Hindi,7.5,1 h 32 min,2016,13+,Movie
Marjala,Kannada,3.5,2 h 12 min,1986,NR,Movie
Samadhan,Bengali,7.3,2 h 8 min,1979,NR,Movie
"Siam, The Elephant",English,None,53min,2020,13+,Movie
Neti Dowrjanyam,Telugu,None,1 h 55 min,1990,NR,Movie
Anweshan,Bengali,None,1 h 58 min,1984,NR,Movie
Bhikari,Marathi,6,2 h 3 mins,2017,13+,Movie
Grace Of Monaco,English,5.7,1 h 42 min,2014,All,Movie
Elan,Hindi,6.2,2 h 4 min,None,NR,Movie
Ichak,Marathi,5.8,1 h 44 mins,2017,All,Movie
The Ballad of Lefty Brown,English,6.3,1 h 51 min,2017,18+,Movie
Full 3 Dhamaal,Marathi,5.7,1 h 50 mins,2008,All,Movie
Yoddha (2014),Bengali,None,2 h 30 min,2017,13+,Movie
Abhinandana,Telugu,7.5,2 h 10 min,1988,NR,Movie
Transformers: Revenge of the Fallen,English,6,2 h 29 min,2009,13+,Movie
Before I Wake,Hindi,6.2,1 h 33 min,2018,16+,Movie
BOSS 2,Bengali,5,2 h 25 min,2017,13+,Movie
Keeping and Saving,English,None,53min,2020,13+,Movie
